date,year,month_num,repatriations,encounters,phe_covid,title42,border_national_emergency,mpp_active,clp_rule_active,mayorkas_priorities_active,title42_uac_exempt,repat_to_enc_ratio,title42_share,lag_1_ratio,rolling_3mo_ratio,administration_Trump
2021-07-01,2021,7,134260,233919,1,1,0,0,0,0,0,0.5739593620013765,1,0.630584680232698,0.5560554171184513,False
2021-08-01,2021,8,135440,231243,1,1,0,0,0,0,1,0.5857042159114005,1,0.5739593620013765,0.596749419381825,False
2021-09-01,2021,9,127420,213622,1,1,0,0,0,0,1,0.5964741459213002,1,0.5857042159114005,0.5853792412780258,False
2021-10-01,2021,10,120120,187136,1,1,0,0,0,0,1,0.6418861149110807,1,0.5964741459213002,0.6080214922479271,False
2021-11-01,2021,11,118620,198553,1,1,0,0,0,1,1,0.5974223507073678,1,0.6418861149110807,0.6119275371799162,False
2021-12-01,2021,12,126430,205691,1,1,0,1,0,1,1,0.6146598538584576,1,0.5974223507073678,0.6179894398256355,False
2022-01-01,2022,1,120360,186808,1,1,0,1,0,1,1,0.6442978887413815,1,0.6146598538584576,0.6187933644357356,False
2022-02-01,2022,2,119330,190578,1,1,0,1,0,1,1,0.6261478239880783,1,0.6442978887413815,0.6283685221959724,False
2022-03-01,2022,3,110850,250404,1,1,0,1,0,1,1,0.4426846216514113,1,0.6261478239880783,0.5710434447936238,False
2022-04-01,2022,4,108580,262109,1,1,0,1,0,1,1,0.4142551381295568,1,0.4426846216514113,0.4943625279230155,False
2022-05-01,2022,5,122110,274992,1,1,0,1,0,1,1,0.4440492814336417,1,0.4142551381295568,0.4336630137382033,False
2022-06-01,2022,6,147080,247523,1,1,0,1,0,1,1,0.5942074069884414,1,0.4440492814336417,0.48417060885054664,False
2022-07-01,2022,7,134940,238929,1,1,0,1,0,1,1,0.5647702874075562,1,0.5942074069884414,0.5343423252765465,False
2022-08-01,2022,8,141000,251521,1,1,0,1,0,1,1,0.5605893742470808,1,0.5647702874075562,0.5731890228810261,False
2022-09-01,2022,9,128990,272338,1,1,0,1,0,1,1,0.47363937460068006,1,0.5605893742470808,0.5329996787517723,False
2022-10-01,2022,10,110630,278317,1,1,0,1,0,1,1,0.3974963800270914,1,0.47363937460068006,0.47724170962495077,False
2022-11-01,2022,11,113170,284624,1,1,0,0,0,1,1,0.3976122884928889,1,0.3974963800270914,0.4229160143735535,False
2022-12-01,2022,12,110900,302392,1,1,0,0,0,1,1,0.36674250641551365,1,0.3976122884928889,0.387283724978498,False
2023-01-01,2023,1,122550,209151,1,1,0,0,0,1,1,0.5859403015046545,1,0.36674250641551365,0.45009836547101906,False
2023-02-01,2023,2,108100,213911,1,1,0,0,0,1,1,0.5053503559891731,1,0.5859403015046545,0.48601105463644706,False
2023-03-01,2023,3,94290,259471,1,1,0,0,0,1,1,0.36339321157277693,1,0.5053503559891731,0.48489462302220154,False
2023-04-01,2023,4,109860,276036,1,1,0,0,0,1,1,0.3979915663174369,1,0.36339321157277693,0.4222450446264623,False
2023-05-01,2023,5,114530,275166,1,1,0,0,1,1,1,0.4162214808515587,1,0.3979915663174369,0.3925354195805908,False
2023-06-01,2023,6,134240,211457,0,0,0,0,1,1,0,0.6348335595416562,0,0.4162214808515587,0.48301553557021726,False
2023-07-01,2023,7,125750,245154,0,0,0,0,1,1,0,0.5129428848805241,0,0.6348335595416562,0.521332641757913,False
2023-08-01,2023,8,96870,304073,0,0,0,0,1,1,0,0.3185748159159149,0,0.5129428848805241,0.4887837534460317,False
2023-09-01,2023,9,72420,341392,0,0,0,0,1,1,0,0.2121315086469513,0,0.3185748159159149,0.34788306981446343,False
2023-10-01,2023,10,71480,309024,0,0,0,0,1,1,0,0.23130889510199856,0,0.2121315086469513,0.2540050732216216,False
2023-11-01,2023,11,82090,308605,0,0,0,0,1,1,0,0.2660034672153724,0,0.23130889510199856,0.23648129032144075,False
2023-12-01,2023,12,67720,370883,0,0,0,0,1,1,0,0.18259127541569714,0,0.2660034672153724,0.2266345459110227,False
2024-01-01,2024,1,75130,242530,0,0,0,0,1,1,0,0.3097761101719375,0,0.18259127541569714,0.252790284267669,False
2024-02-01,2024,2,70260,256071,0,0,0,0,1,1,0,0.27437702824607235,0,0.3097761101719375,0.2555814712779023,False
2024-03-01,2024,3,65480,246505,0,0,0,0,1,1,0,0.26563355712865866,0,0.27437702824607235,0.2832622318488895,False
2024-04-01,2024,4,69600,247929,0,0,0,0,1,1,0,0.2807255302929468,0,0.26563355712865866,0.2735787052225593,False
2024-05-01,2024,5,69880,240924,0,0,0,0,1,1,0,0.2900499742657435,0,0.2807255302929468,0.2788030205624496,False
2024-06-01,2024,6,74360,204932,0,0,0,0,1,1,0,0.3628520680030449,0,0.2900499742657435,0.3112091908539117,False
2024-07-01,2024,7,71930,170180,0,0,0,0,1,1,0,0.42267011399694443,0,0.3628520680030449,0.35852405208857757,False
2024-08-01,2024,8,69220,158893,0,0,0,0,1,1,0,0.43563907787001316,0,0.42267011399694443,0.4070537532900009,False
2024-09-01,2024,9,55670,144666,0,0,0,0,1,1,0,0.3848174415550302,0,0.43563907787001316,0.414375544473996,False
2024-10-01,2024,10,54120,142742,0,0,0,0,1,1,0,0.3791455913466254,0,0.3848174415550302,0.3998673702572229,False
2024-11-01,2024,11,54460,124972,0,0,0,0,1,1,0,0.4357776141855776,0,0.3791455913466254,0.3999135490290777,False
2024-12-01,2024,12,47490,124482,0,0,0,0,1,1,0,0.38150093989492456,0,0.4357776141855776,0.3988080484757091,False
2025-01-01,2025,1,62040,81479,0,0,0,1,1,1,0,0.7614231887971133,0,0.38150093989492456,0.5262339142925385,False
2025-02-01,2025,2,48970,28613,0,0,0,1,1,1,0,1.711459825953238,0,0.7614231887971133,0.9514613182150921,True
